ID,Categoria,Presenciou_Acidente,Frequencia_Acidentes,Principal_Causa,Conhece_IA,Experiencia_com_IA,IA_Pode_Reduzir_Acidentes,Apoia_Modernizacao_Transito,Sugestao_Modernizacao
220,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Mais agentes de trânsito nas ruas
221,Mototaxista,Não,Frequente,Condução imprudente,Sim,Nunca usei IA,Não,Sim,Instalar câmeras de vigilância
222,Motorista,Sim,Frequente,Consumo de álcool,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Fiscalização mais rigorosa
223,Peão,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Não,Sim,Instalar câmeras de vigilância
224,Mototaxista,Sim,Raro,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Fiscalização mais rigorosa
225,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Aumentar a iluminação pública
226,Motorista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Não,Sim,Melhorar a sinalização nas estradas
227,Mototaxista,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
228,Motorista,Não,Muito frequente,Condução imprudente,Sim,Nunca usei IA,Sim,Sim,Instalar câmeras de vigilância
229,Mototaxista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
230,Mototaxista,Sim,Raro,Condução imprudente,Sim,Nunca ouvi falar antes,Não,Sim,Mais agentes de trânsito nas ruas
231,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
232,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Construir passadeiras elevadas
233,Mototaxista,Não,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
234,Motorista,Sim,Frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Instalar câmeras de vigilância
235,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Instalar câmeras de vigilância
236,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Criar faixas de pedestres
237,Peão,Sim,Frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Mais agentes de trânsito nas ruas
238,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Instalar câmeras de vigilância
239,Peão,Sim,Frequente,Falta de sinalização,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Fiscalização mais rigorosa
240,Mototaxista,Não,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
241,Peão,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Educação para o trânsito nas escolas
242,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Construir passadeiras elevadas
243,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Criar faixas de pedestres
244,Mototaxista,Sim,Raro,Consumo de álcool,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
245,Mototaxista,Sim,Frequente,Falta de sinalização,Sim,Aplicações de reconhecimento facial,Sim,Sim,Implementar semáforos inteligentes
246,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
247,Motorista,Não,Frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Usar tecnologia de IA no trânsito
248,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
249,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Não,Sim,Instalar câmeras de vigilância
250,Peão,Não,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Educação para o trânsito nas escolas
251,Peão,Sim,Frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Mais agentes de trânsito nas ruas
252,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Instalar câmeras de vigilância
253,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
254,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
255,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Instalar câmeras de vigilância
256,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Melhorar a sinalização nas estradas
257,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
258,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
259,Motorista,Sim,Frequente,Consumo de álcool,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Educação para o trânsito nas escolas
260,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Interação com chatbots de atendimento,Sim,Não,
261,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Nunca ouvi falar antes,Sim,Sim,Criar faixas de pedestres
262,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Melhorar a sinalização nas estradas
263,Mototaxista,Não,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Implementar semáforos inteligentes
264,Mototaxista,Não,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Não,Sim,Melhorar a sinalização nas estradas
265,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
266,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Melhorar a sinalização nas estradas
267,Motorista,Sim,Frequente,Consumo de álcool,Sim,Nunca ouvi falar antes,Sim,Sim,Usar tecnologia de IA no trânsito
268,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Implementar semáforos inteligentes
269,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Nunca usei IA,Sim,Sim,Melhorar a sinalização nas estradas
270,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Mais agentes de trânsito nas ruas
271,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Criar faixas de pedestres
272,Mototaxista,Sim,Raro,Consumo de álcool,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
273,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Melhorar a sinalização nas estradas
274,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Criar faixas de pedestres
275,Motorista,Sim,Frequente,Falta de sinalização,Sim,Uso de Google Maps com navegação inteligente,Não,Sim,Construir passadeiras elevadas
276,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Usar tecnologia de IA no trânsito
277,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Não,
278,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
279,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Criar faixas de pedestres
280,Mototaxista,Não,Frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Mais agentes de trânsito nas ruas
281,Motorista,Sim,Raro,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Aumentar a iluminação pública
282,Motorista,Sim,Raro,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Não,
283,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Aumentar a iluminação pública
284,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
285,Mototaxista,Não,Muito frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Usar tecnologia de IA no trânsito
286,Mototaxista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
287,Motorista,Sim,Raro,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Usar tecnologia de IA no trânsito
288,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Sim,Usar tecnologia de IA no trânsito
289,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
290,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
291,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Implementar semáforos inteligentes
292,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Construir passadeiras elevadas
293,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
294,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Fiscalização mais rigorosa
295,Motorista,Não,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
296,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Usar tecnologia de IA no trânsito
297,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
298,Motorista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
299,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
300,Motorista,Não,Frequente,Falta de sinalização,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Instalar câmeras de vigilância
301,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Nunca usei IA,Sim,Não,
302,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Fiscalização mais rigorosa
303,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Criar faixas de pedestres
304,Mototaxista,Sim,Raro,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Não,
305,Mototaxista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Não,
306,Motorista,Sim,Frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Não,Sim,Usar tecnologia de IA no trânsito
307,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
308,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
309,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Não,Sim,Aumentar a iluminação pública
310,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Criar faixas de pedestres
311,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Aumentar a iluminação pública
312,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Aumentar a iluminação pública
313,Peão,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Mais agentes de trânsito nas ruas
314,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Usar tecnologia de IA no trânsito
315,Peão,Sim,Muito frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Não,
316,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Instalar câmeras de vigilância
317,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Educação para o trânsito nas escolas
318,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
319,Mototaxista,Não,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Não,
320,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Mais agentes de trânsito nas ruas
321,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Nunca usei IA,Sim,Sim,Implementar semáforos inteligentes
322,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Melhorar a sinalização nas estradas
323,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Construir passadeiras elevadas
324,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
325,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Melhorar a sinalização nas estradas
326,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
327,Mototaxista,Sim,Frequente,Falta de sinalização,Sim,Interação com chatbots de atendimento,Sim,Sim,Melhorar a sinalização nas estradas
328,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Não,
329,Peão,Não,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
330,Peão,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Educação para o trânsito nas escolas
331,Peão,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
332,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Não,
333,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
334,Peão,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
335,Mototaxista,Não,Raro,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Mais agentes de trânsito nas ruas
336,Motorista,Sim,Raro,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Melhorar a sinalização nas estradas
337,Mototaxista,Não,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Aumentar a iluminação pública
338,Mototaxista,Sim,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
339,Mototaxista,Sim,Frequente,Consumo de álcool,Sim,Nunca usei IA,Sim,Sim,Melhorar a sinalização nas estradas
340,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Não,Sim,Melhorar a sinalização nas estradas
341,Peão,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Não,
342,Peão,Sim,Frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Instalar câmeras de vigilância
343,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Melhorar a sinalização nas estradas
344,Peão,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Não,Sim,Melhorar a sinalização nas estradas
345,Peão,Sim,Raro,Falta de sinalização,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
346,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
347,Motorista,Sim,Raro,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Mais agentes de trânsito nas ruas
348,Motorista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
349,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Implementar semáforos inteligentes
350,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Educação para o trânsito nas escolas
351,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Não,
352,Mototaxista,Não,Raro,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Aumentar a iluminação pública
353,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Usar tecnologia de IA no trânsito
354,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Aumentar a iluminação pública
355,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
356,Motorista,Sim,Frequente,Consumo de álcool,Sim,Uso de filtros no Instagram com IA,Não,Sim,Melhorar a sinalização nas estradas
357,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
358,Motorista,Sim,Raro,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Criar faixas de pedestres
359,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
360,Mototaxista,Sim,Raro,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Não,
361,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Não,Sim,Aumentar a iluminação pública
362,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
363,Motorista,Não,Raro,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Usar tecnologia de IA no trânsito
364,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Não,Sim,Fiscalização mais rigorosa
365,Mototaxista,Sim,Raro,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Não,Sim,Instalar câmeras de vigilância
366,Peão,Sim,Raro,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Mais agentes de trânsito nas ruas
367,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Aplicações de reconhecimento facial,Sim,Sim,Instalar câmeras de vigilância
368,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Melhorar a sinalização nas estradas
369,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
370,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Construir passadeiras elevadas
371,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
372,Motorista,Sim,Frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Não,Sim,Educação para o trânsito nas escolas
373,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Construir passadeiras elevadas
374,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
375,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Nunca usei IA,Sim,Sim,Melhorar a sinalização nas estradas
376,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Não,Sim,Construir passadeiras elevadas
377,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
378,Motorista,Não,Raro,Consumo de álcool,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Usar tecnologia de IA no trânsito
379,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Educação para o trânsito nas escolas
380,Motorista,Não,Raro,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
381,Peão,Sim,Raro,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Aumentar a iluminação pública
382,Motorista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
383,Peão,Sim,Frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Mais agentes de trânsito nas ruas
384,Mototaxista,Não,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Educação para o trânsito nas escolas
385,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
386,Mototaxista,Não,Frequente,Falta de sinalização,Sim,Vi notícias sobre carros autónomos,Não,Sim,Melhorar a sinalização nas estradas
387,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Educação para o trânsito nas escolas
388,Motorista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
389,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Não,Sim,Criar faixas de pedestres
390,Peão,Sim,Muito frequente,Falta de sinalização,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Instalar câmeras de vigilância
391,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Aumentar a iluminação pública
392,Mototaxista,Sim,Raro,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Construir passadeiras elevadas
393,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
394,Motorista,Sim,Raro,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Usar tecnologia de IA no trânsito
395,Motorista,Sim,Frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Implementar semáforos inteligentes
396,Peão,Não,Frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Não,Sim,Aumentar a iluminação pública
397,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Não,
398,Mototaxista,Não,Frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Fiscalização mais rigorosa
399,Peão,Sim,Raro,Consumo de álcool,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
400,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Fiscalização mais rigorosa
401,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Não,
402,Mototaxista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
403,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Construir passadeiras elevadas
404,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
405,Mototaxista,Não,Muito frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Educação para o trânsito nas escolas
406,Mototaxista,Não,Muito frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Instalar câmeras de vigilância
407,Peão,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
408,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Instalar câmeras de vigilância
409,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
410,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Mais agentes de trânsito nas ruas
411,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
412,Mototaxista,Sim,Raro,Consumo de álcool,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
413,Mototaxista,Sim,Raro,Condução imprudente,Sim,Nunca usei IA,Não,Sim,Instalar câmeras de vigilância
414,Motorista,Não,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
415,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Não,Sim,Melhorar a sinalização nas estradas
416,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Aplicações de reconhecimento facial,Não,Sim,Usar tecnologia de IA no trânsito
417,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Não,Sim,Criar faixas de pedestres
418,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Fiscalização mais rigorosa
419,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Mais agentes de trânsito nas ruas
420,Peão,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
421,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Instalar câmeras de vigilância
422,Motorista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
423,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Usar tecnologia de IA no trânsito
424,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
425,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Educação para o trânsito nas escolas
426,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Usar tecnologia de IA no trânsito
427,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Não,Não,
428,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Nunca usei IA,Não,Sim,Criar faixas de pedestres
429,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Nunca usei IA,Não,Sim,Aumentar a iluminação pública
430,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Não,Sim,Construir passadeiras elevadas
431,Peão,Sim,Frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Não,
432,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
433,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Fiscalização mais rigorosa
434,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Mais agentes de trânsito nas ruas
435,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Não,
436,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Criar faixas de pedestres
